passed,Molecular mass,LogP,H-Donors,H-Acceptors,molecule_name,canonical_smiles,pIC50
True,403.4420000000002,4.5378000000000025,2,8,CHEMBL1760035,COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC,6.069050968832477
True,343.4410000000001,3.34982,2,8,CHEMBL1270795,CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1,5.296880653763922
True,427.5480000000002,6.921740000000005,0,4,CHEMBL1821862,Cc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(F)cc3)C2)cc1C,5.761953896871205
True,230.231,-0.1171200000000002,3,7,CHEMBL1910268,N#Cc1cc2c(N)ncnc2nc1NCCO,4.0301183562535
True,411.3030000000001,5.081500000000004,3,4,CHEMBL1914653,Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,8.431798275933005
True,404.8820000000001,5.800600000000003,2,5,CHEMBL1928309,O=C(c1cc2ccccc2[nH]1)c1cc2c(Nc3cccc(Cl)c3)ncnc2s1,6.522878745280337
True,298.3670000000001,4.042920000000001,1,5,CHEMBL1929312,Cc1ccc(-c2nnc(SCc3ccccc3)o2)c(O)c1,4.465339424171556
True,438.871,5.645300000000002,3,6,CHEMBL1928311,O=C(c1cc2cc(O)ccc2[nH]1)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,7.619788758288394
True,408.3030000000001,4.945420000000003,3,4,CHEMBL1095464,Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,5.036684488613889
True,276.317,1.50872,1,4,CHEMBL1916951,Cc1ccc(S(=O)(=O)NC(=O)c2cccnc2)cc1,4.605023280445436
True,448.4490000000003,3.6640000000000015,3,8,CHEMBL1950289,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,6.42021640338319
True,337.4020000000002,4.233600000000003,1,5,CHEMBL1951415,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,6.823908740944319
True,431.49600000000027,4.088800000000003,2,6,CHEMBL1952210,COc1ccc(N2Cc3cnc(Nc4ccccc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1,6.508638306165727
True,321.40500000000003,3.467100000000002,0,4,CHEMBL1958019,O=C1CSC(N2N=C(c3ccccc3)CC2c2ccccc2)=N1,5.471083299722345
True,463.16600000000017,5.943800000000001,3,4,CHEMBL1956886,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)c(Cl)c3)[nH]c2n1,4.703993330686328
True,433.70100000000014,6.282800000000002,1,4,CHEMBL2011291,Nc1c(-c2ccc(F)cc2)c(-c2ccncc2)nn1-c1c(Cl)cc(Cl)cc1Cl,6.94692155651658
True,281.31500000000005,3.390600000000002,1,5,CHEMBL94191,COc1cc2ncnc(Nc3ccccc3)c2cc1OC,5.366531544420414
True,414.3070000000001,4.026100000000001,2,5,CHEMBL2031297,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.55284196865778
True,457.8930000000004,3.7961000000000023,1,8,CHEMBL2064372,O=c1oc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc2n1CCCN1CCOCC1,7.107905397309519
True,405.3930000000001,3.346900000000001,4,6,CHEMBL1990583,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,5.679853713888946
True,477.3180000000002,5.159400000000003,2,6,CHEMBL2070190,O=C(Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)c1cccc2c1OCCO2,5.787812395596042
True,369.8560000000001,4.240000000000003,1,6,CHEMBL2070045,COc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1.Cl,6.292429823902063
True,372.2220000000002,4.297200000000002,1,5,CHEMBL1198361,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,7.070581074285707
True,446.3010000000004,3.9403000000000015,1,7,CHEMBL2087355,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,7.301029995663981
True,567.9770000000002,4.800200000000004,2,8,CHEMBL2148044,CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,7.823908740944319
True,322.36800000000017,2.25572,2,6,CHEMBL2152704,Cc1ccc(O)cc1-n1c(=O)c2c(c3c(N)ncnc31)CCCC2,5.790484985457369
True,453.8580000000001,2.8178,3,6,CHEMBL2152252,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,6.131355561605174
True,441.3140000000002,5.699100000000005,1,4,CHEMBL2159053,COc1ccc(C2=NN(C(=O)c3ccc(Cl)cc3O)C(c3ccc(Cl)cc3)C2)cc1,4.979224511806442
True,384.2330000000001,4.629780000000003,1,5,CHEMBL111038,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC,6.721246399047171
True,343.2270000000001,2.766300000000001,0,3,CHEMBL2205030,O=S1(=O)N=S(c2ccc(Br)cc2)c2ccncc21,5.267606240177032
True,461.3970000000003,5.775120000000004,2,7,CHEMBL2312654,Cc1cc(-c2cnc(Nc3cc(Cl)cc(Cl)c3)nc2NC2CCC(N(C)C)CC2)on1,6.229147988357856
True,349.3120000000001,4.409400000000002,1,5,CHEMBL2333986,COc1cc2ncnc(Nc3ccccc3C(F)(F)F)c2cc1OC,5.0
True,333.7500000000001,4.183100000000002,1,5,CHEMBL301018,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC,8.045757490560675
True,413.8400000000002,4.450000000000003,1,7,CHEMBL294034,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCn1ccnc1,7.220403508742176
True,313.74800000000005,3.517400000000001,3,4,CHEMBL2347231,NC(=O)Nc1ccc2ncnc(Nc3ccc(Cl)cc3)c2c1,7.214670164989233
True,538.6270000000002,4.843120000000004,2,6,CHEMBL2385993,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1C(=O)Nc1nccc(-c2cccc(F)c2)n1,5.221848749616356
True,473.9360000000002,3.763700000000002,2,7,CHEMBL2408045,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,7.920818753952375
True,405.8850000000003,5.623500000000003,1,5,CHEMBL2419762,Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1,7.568636235841013
True,476.9680000000001,4.699000000000003,2,6,CHEMBL2426280,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,6.102372908709558
True,479.9720000000001,4.477200000000003,2,8,CHEMBL2426248,COc1ccc(NC(=O)CCCN(C)C)cc1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1,5.638272163982407
